hostname,patch_compliance,last_patch_date
Jalan Tun Razak,Compliance,2023-09-01
Jalan Kampung Attap,NotCompliance,2023-10-14
Jalan Tun Sambanthan,Compliance,2023-12-08
Jalan Sultan Abdul Samad,NotCompliance,2024-01-16
Jalan Tuanku Abdul Rahman,NotCompliance,2024-03-08
Jalan Sultan Ismail,Compliance,2023-09-01
Jalan Hang Lekiu,Compliance,2023-10-14
Jalan Hang Kasturi,Compliance,2023-12-08
Jalan Hang Jebat,Compliance,2024-01-16
Jalan Hang Tuah,NotCompliance,2024-03-08
Jalan Imbi,Compliance,2023-09-01
Jalan Galloway,NotCompliance,2023-10-14
Jalan Dang Wangi,Compliance,2023-12-08
Jalan Ampang,Compliance,2024-01-16
Jalan Masjid India,NotCompliance,2024-03-08
Jalan Hang Lekir,Compliance,2023-09-01
Jalan Hang Kasturi,NotCompliance,2023-10-14
Jalan Hang Kasturi,Compliance,2023-12-08
Jalan Hang Jebat,NotCompliance,2024-01-16
Jalan Hang Tuah,NotCompliance,2024-03-08
Jalan Tunku Abdul Rahman,Compliance,2023-09-01
Jalan Hang Lekir,NotCompliance,2023-10-14
Jalan Sultan Ismail,Compliance,2023-12-08
Jalan Hang Jebat,NotCompliance,2024-01-16
Jalan Tuanku Abdul Rahman,NotCompliance,2024-03-08
Jalan Ampang,Compliance,2023-09-01
Jalan Masjid India,NotCompliance,2023-10-14
Jalan Sultan Ismail,Compliance,2023-12-08
Jalan Tun Perak,NotCompliance,2024-01-16
Jalan Tun Sambanthan,NotCompliance,2024-03-08
Jalan Hang Lekir,Compliance,2023-09-01
Jalan Hang Kasturi,Compliance,2023-10-14
Jalan Hang Jebat,NotCompliance,2023-12-08
Jalan Hang Tuah,NotCompliance,2024-01-16
Jalan Tun Abdul Razak,NotCompliance,2024-03-08
Jalan Bukit Bintang,Compliance,2023-09-01
Jalan Sultan Ismail,Compliance,2023-10-14
Jalan Imbi,Compliance,2023-12-08
Jalan Ampang Hilir,Compliance,2024-01-16
Jalan Sultan Abdul Samad,Compliance,2024-03-08
Jalan Tun Razak,NotCompliance,2023-09-01
Jalan Hang Tuah,NotCompliance,2023-10-14
Jalan Chan Sow Lin,NotCompliance,2023-12-08
Jalan Sultan Ahmad Shah,NotCompliance,2024-01-16
Jalan Kepong,NotCompliance,2024-03-08
Jalan Ampang,Compliance,2023-09-01
Jalan Loke Yew,Compliance,2023-10-14
Jalan Tun Perak,Compliance,2023-12-08
Jalan Pudu,Compliance,2024-01-16
Jalan Hang Jebat,Compliance,2024-03-08
Jalan PJU 1A/1C,NotCompliance,2023-09-01
Jalan Sri Hartamas,NotCompliance,2023-10-14
Jalan Sultan Hishamuddin,NotCompliance,2023-12-08
Jalan Tunku Abdul Halim,NotCompliance,2024-01-16
Jalan PJU 1A/1,NotCompliance,2024-03-08
Jalan TAR,Compliance,2023-09-01
Jalan Sultan Yahya Petra,Compliance,2023-10-14
Jalan Kastam,Compliance,2023-12-08
Jalan Genting Klang,Compliance,2024-01-16
Jalan Pahang,Compliance,2024-03-08
Jalan Ipoh,NotCompliance,2023-09-01
Jalan Gombak,NotCompliance,2023-10-14
Jalan PJU 1A/1B,NotCompliance,2023-12-08
Jalan Puchong,NotCompliance,2024-01-16
Jalan Lembah Perdana,NotCompliance,2024-03-08
Jalan Syed Putra,Compliance,2023-09-01
Jalan Raja Chulan,Compliance,2023-10-14
Jalan Perak,Compliance,2023-12-08
Jalan Dutamas,Compliance,2024-01-16
Jalan Duta,Compliance,2024-03-08
Jalan Sultan Abdul Jalil,NotCompliance,2023-09-01
Jalan Pantai,NotCompliance,2023-10-14
Jalan Sultan Iskandar,NotCompliance,2023-12-08
Jalan Klang Lama,NotCompliance,2024-01-16
Jalan Pantai Baharu,NotCompliance,2024-03-08
